config,pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,packets_received,flits_received,sim_cycles,accepted_flits_per_node_cycle
vc2_escape,bit_complement,0.01,17.402053,17.402053,15.401483,2.00057,6.100101,15784.0,15784.0,100000.0,0.009865
vc2_escape,bit_complement,0.02,17.987073,17.987073,15.98359,2.003483,6.215337,31871.0,31871.0,100000.0,0.019919375
vc2_escape,bit_complement,0.03,18.798181,18.798181,16.786434,2.011747,6.316698,47929.0,47929.0,100000.0,0.029955625
vc2_escape,bit_complement,0.04,20.345896,20.345896,18.316052,2.029844,6.384367,63866.0,63866.0,100000.0,0.03991625
vc2_escape,bit_complement,0.05,23.454756,23.454756,21.3677,2.087057,6.313824,80166.0,80166.0,100000.0,0.05010375
vc2_escape,bit_complement,0.075,34.631756,34.631756,28.977036,5.65472,4.809122,119752.0,119752.0,100000.0,0.074845
vc2_escape,bit_complement,0.1,4620.825988,4620.825988,31.32103,4589.504957,4.089059,139289.0,139289.0,100000.0,0.087055625
vc2_escape,bit_complement,0.15,12456.921767,12456.921767,30.836068,12426.085699,3.346783,148531.0,148531.0,100000.0,0.092831875
vc2_escape,bit_complement,0.2,18884.777296,18884.777296,31.468766,18853.30853,3.032404,149117.0,149117.0,100000.0,0.093198125
vc2_escape,bit_complement,0.25,21458.197713,21458.197713,24.768172,21433.429541,2.756188,149960.0,149960.0,100000.0,0.093725
vc2_escape,bit_complement,0.3,26115.973543,26115.973543,19.996073,26095.97747,2.749995,149981.0,149981.0,100000.0,0.093738125
vc2_escape,bit_complement,0.4,32044.88062,32044.88062,19.996546,32024.884074,2.749985,149983.0,149983.0,100000.0,0.093739375
vc2_escape,bit_complement,0.5,35640.29618,35640.29618,19.996386,35620.299794,2.749892,149983.0,149983.0,100000.0,0.093739375
vc2_escape,bit_complement,0.6,38047.23061,38047.23061,19.996666,38027.233943,2.749908,149985.0,149985.0,100000.0,0.093740625
vc2_escape,bit_complement,0.7,39767.541558,39767.541558,19.99644,39747.545118,2.749867,149984.0,149984.0,100000.0,0.09374
vc2_escape,bit_reverse,0.01,12.784655,12.784655,10.784149,2.000507,3.858718,15784.0,15784.0,100000.0,0.009865
vc2_escape,bit_reverse,0.02,12.91958,12.91958,10.916379,2.003201,3.874208,31870.0,31870.0,100000.0,0.01991875
vc2_escape,bit_reverse,0.03,13.079369,13.079369,11.06975,2.009619,3.889793,47928.0,47928.0,100000.0,0.029955
vc2_escape,bit_reverse,0.04,13.218116,13.218116,11.198935,2.019181,3.877633,63865.0,63865.0,100000.0,0.039915625
vc2_escape,bit_reverse,0.05,13.458137,13.458137,11.426278,2.031859,3.882481,80166.0,80166.0,100000.0,0.05010375
vc2_escape,bit_reverse,0.075,14.51505,14.51505,12.415071,2.099979,3.879639,119765.0,119765.0,100000.0,0.074853125
vc2_escape,bit_reverse,0.1,17.97112,17.97112,15.406024,2.565096,3.87997,159902.0,159902.0,100000.0,0.09993875
vc2_escape,bit_reverse,0.15,9855.097827,9855.097827,21.72814,9833.369687,2.972161,172600.0,172600.0,100000.0,0.107875
vc2_escape,bit_reverse,0.2,14170.595846,14170.595846,26.965032,14143.630814,2.621789,186597.0,186597.0,100000.0,0.116623125
vc2_escape,bit_reverse,0.25,15373.067153,15373.067153,24.571699,15348.495453,2.366841,206738.0,206738.0,100000.0,0.12921125
vc2_escape,bit_reverse,0.3,15548.795561,15548.795561,28.198215,15520.597346,2.113774,221078.0,221078.0,100000.0,0.13817375
vc2_escape,bit_reverse,0.4,14845.192723,14845.192723,24.310415,14820.882308,1.795777,260690.0,260690.0,100000.0,0.16293125
vc2_escape,bit_reverse,0.5,21783.916476,21783.916476,24.362109,21759.554367,1.790238,260858.0,260858.0,100000.0,0.16303625
vc2_escape,bit_reverse,0.6,26429.208843,26429.208843,24.290607,26404.918236,1.793517,260947.0,260947.0,100000.0,0.163091875
vc2_escape,bit_reverse,0.7,29824.702164,29824.702164,24.290448,29800.411716,1.793504,260949.0,260949.0,100000.0,0.163093125
vc4,uniform_random,0.01,12.940964,12.940964,10.940964,2.0,3.96227,15770.0,15770.0,100000.0,0.00985625
vc4,uniform_random,0.02,13.025329,13.025329,11.025329,2.0,3.993864,31782.0,31782.0,100000.0,0.01986375
vc4,uniform_random,0.03,13.08756,13.08756,11.087539,2.000021,4.015479,47807.0,47807.0,100000.0,0.029879375
vc4,uniform_random,0.04,13.103422,13.103422,11.103422,2.0,4.012526,63710.0,63710.0,100000.0,0.03981875
vc4,uniform_random,0.05,13.087159,13.087159,11.087134,2.000025,3.992,80003.0,80003.0,100000.0,0.050001875
vc4,uniform_random,0.075,13.179881,13.179881,11.179839,2.000042,4.003371,119557.0,119557.0,100000.0,0.074723125
vc4,uniform_random,0.1,13.25178,13.25178,11.251654,2.000125,4.000238,159584.0,159584.0,100000.0,0.09974
vc4,uniform_random,0.15,13.494512,13.494512,11.493806,2.000706,4.002982,239420.0,239420.0,100000.0,0.1496375
vc4,uniform_random,0.2,13.888152,13.888152,11.885466,2.002686,4.00222,319426.0,319426.0,100000.0,0.19964125
vc4,bit_complement,0.01,12.976685,12.976685,10.976685,2.0,3.980613,15784.0,15784.0,100000.0,0.009865
vc4,bit_complement,0.02,13.031251,13.031251,11.031251,2.0,4.000282,31871.0,31871.0,100000.0,0.019919375
vc4,bit_complement,0.03,13.058168,13.058168,11.058168,2.0,4.003964,47930.0,47930.0,100000.0,0.02995625
vc4,bit_complement,0.04,13.083815,13.083815,11.083799,2.000016,4.006529,63867.0,63867.0,100000.0,0.039916875
vc4,bit_complement,0.05,13.108634,13.108634,11.108622,2.000012,4.007634,80168.0,80168.0,100000.0,0.050105
vc4,bit_complement,0.075,13.152188,13.152188,11.15213,2.000058,3.997261,119766.0,119766.0,100000.0,0.07485375
vc4,bit_complement,0.1,13.248863,13.248863,11.248732,2.000131,4.001194,159903.0,159903.0,100000.0,0.099939375
vc4,bit_complement,0.15,13.564907,13.564907,11.564082,2.000825,4.000729,240013.0,240013.0,100000.0,0.150008125
vc4,bit_complement,0.2,14.509174,14.509174,12.492664,2.016509,4.000347,319877.0,319877.0,100000.0,0.199923125
vc4,bit_complement,0.25,140.718123,140.718123,22.528809,118.189314,3.991488,399210.0,399210.0,100000.0,0.24950625
vc4,bit_complement,0.3,6657.076469,6657.076469,24.422677,6632.653792,3.597231,399939.0,399939.0,100000.0,0.249961875
vc4,bit_complement,0.4,13103.847789,13103.847789,26.560096,13077.287693,3.098032,399951.0,399951.0,100000.0,0.249969375
